links,id,neo_reference_id,name,nasa_jpl_url,absolute_magnitude_h,estimated_diameter,is_potentially_hazardous_asteroid,close_approach_data,is_sentry_object
{'self': 'http://www.neowsapp.com/rest/v1/neo/2242191?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},2242191,2242191,242191 (2003 NZ6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2242191,18.97,"{'kilometers': {'estimated_diameter_min': 0.4271249851, 'estimated_diameter_max': 0.9550805015}, 'meters': {'estimated_diameter_min': 427.1249850508, 'estimated_diameter_max': 955.0805014622}, 'miles': {'estimated_diameter_min': 0.2654030791, 'estimated_diameter_max': 0.5934593263}, 'feet': {'estimated_diameter_min': 1401.3287359541, 'estimated_diameter_max': 3133.4663124173}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 19:26', 'epoch_date_close_approach': 1647285960000, 'relative_velocity': {'kilometers_per_second': '13.0377360495', 'kilometers_per_hour': '46935.8497783598', 'miles_per_hour': '29164.1117692259'}, 'miss_distance': {'astronomical': '0.3985375051', 'lunar': '155.0310894839', 'kilometers': '59620361.878074137', 'miles': '37046375.0077996106'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/2483459?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},2483459,2483459,483459 (2002 EM6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=2483459,20.2,"{'kilometers': {'estimated_diameter_min': 0.2424124811, 'estimated_diameter_max': 0.5420507863}, 'meters': {'estimated_diameter_min': 242.4124811008, 'estimated_diameter_max': 542.0507863358}, 'miles': {'estimated_diameter_min': 0.1506280858, 'estimated_diameter_max': 0.3368146392}, 'feet': {'estimated_diameter_min': 795.3165644948, 'estimated_diameter_max': 1778.3819018419}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 20:41', 'epoch_date_close_approach': 1647290460000, 'relative_velocity': {'kilometers_per_second': '15.9865363856', 'kilometers_per_hour': '57551.5309883299', 'miles_per_hour': '35760.2832410542'}, 'miss_distance': {'astronomical': '0.2297011384', 'lunar': '89.3537428376', 'kilometers': '34362801.041215208', 'miles': '21352054.4590895504'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54249059?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54249059,54249059,(2022 EX1),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54249059,22.436,"{'kilometers': {'estimated_diameter_min': 0.0865675201, 'estimated_diameter_max': 0.1935708597}, 'meters': {'estimated_diameter_min': 86.5675201292, 'estimated_diameter_max': 193.5708596525}, 'miles': {'estimated_diameter_min': 0.0537905466, 'estimated_diameter_max': 0.1202793186}, 'feet': {'estimated_diameter_min': 284.0141827407, 'estimated_diameter_max': 635.0750191822}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 08:12', 'epoch_date_close_approach': 1647245520000, 'relative_velocity': {'kilometers_per_second': '19.7393260523', 'kilometers_per_hour': '71061.5737881205', 'miles_per_hour': '44154.8984462908'}, 'miss_distance': {'astronomical': '0.345926666', 'lunar': '134.565473074', 'kilometers': '51749892.40980142', 'miles': '32155892.054922796'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3274695?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},3274695,3274695,(2005 FK),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3274695,23.4,"{'kilometers': {'estimated_diameter_min': 0.0555334912, 'estimated_diameter_max': 0.1241766613}, 'meters': {'estimated_diameter_min': 55.5334911581, 'estimated_diameter_max': 124.1766612574}, 'miles': {'estimated_diameter_min': 0.0345069009, 'estimated_diameter_max': 0.0771597762}, 'feet': {'estimated_diameter_min': 182.1964991311, 'estimated_diameter_max': 407.4037573197}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 18:26', 'epoch_date_close_approach': 1647282360000, 'relative_velocity': {'kilometers_per_second': '17.6765806608', 'kilometers_per_hour': '63635.6903787767', 'miles_per_hour': '39540.7432800793'}, 'miss_distance': {'astronomical': '0.264660788', 'lunar': '102.953046532', 'kilometers': '39592690.15732156', 'miles': '24601756.865135128'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54248568?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54248568,54248568,(2022 DN3),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54248568,23.456,"{'kilometers': {'estimated_diameter_min': 0.0541196497, 'estimated_diameter_max': 0.1210152156}, 'meters': {'estimated_diameter_min': 54.1196496661, 'estimated_diameter_max': 121.0152155718}, 'miles': {'estimated_diameter_min': 0.0336283808, 'estimated_diameter_max': 0.0751953455}, 'feet': {'estimated_diameter_min': 177.5579114105, 'estimated_diameter_max': 397.0315598567}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 03:52', 'epoch_date_close_approach': 1647229920000, 'relative_velocity': {'kilometers_per_second': '11.0526712917', 'kilometers_per_hour': '39789.6166502204', 'miles_per_hour': '24723.7204124661'}, 'miss_distance': {'astronomical': '0.2202704534', 'lunar': '85.6852063726', 'kilometers': '32951990.652574258', 'miles': '20475417.5337824404'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54246378?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54246378,54246378,(2022 CT4),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54246378,23.72,"{'kilometers': {'estimated_diameter_min': 0.0479242116, 'estimated_diameter_max': 0.1071617948}, 'meters': {'estimated_diameter_min': 47.924211552, 'estimated_diameter_max': 107.1617947985}, 'miles': {'estimated_diameter_min': 0.0297787153, 'estimated_diameter_max': 0.0665872316}, 'feet': {'estimated_diameter_min': 157.2316702284, 'estimated_diameter_max': 351.5807028466}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 15:48', 'epoch_date_close_approach': 1647272880000, 'relative_velocity': {'kilometers_per_second': '6.7031908012', 'kilometers_per_hour': '24131.4868843017', 'miles_per_hour': '14994.3675031929'}, 'miss_distance': {'astronomical': '0.1153715463', 'lunar': '44.8795315107', 'kilometers': '17259337.585086381', 'miles': '10724455.0757828178'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54145460?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54145460,54145460,(2021 JG6),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54145460,24.01,"{'kilometers': {'estimated_diameter_min': 0.0419329075, 'estimated_diameter_max': 0.0937648318}, 'meters': {'estimated_diameter_min': 41.9329075486, 'estimated_diameter_max': 93.7648317729}, 'miles': {'estimated_diameter_min': 0.0260558927, 'estimated_diameter_max': 0.0582627473}, 'feet': {'estimated_diameter_min': 137.5751604018, 'estimated_diameter_max': 307.6274106738}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 15:11', 'epoch_date_close_approach': 1647270660000, 'relative_velocity': {'kilometers_per_second': '4.2713981665', 'kilometers_per_hour': '15377.033399398', 'miles_per_hour': '9554.6905586426'}, 'miss_distance': {'astronomical': '0.1755116778', 'lunar': '68.2740426642', 'kilometers': '26256173.159006286', 'miles': '16314829.4723113068'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54255057?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54255057,54255057,(2022 ES5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54255057,24.29,"{'kilometers': {'estimated_diameter_min': 0.0368599699, 'estimated_diameter_max': 0.0824213984}, 'meters': {'estimated_diameter_min': 36.8599699314, 'estimated_diameter_max': 82.4213984152}, 'miles': {'estimated_diameter_min': 0.0229037164, 'estimated_diameter_max': 0.0512142668}, 'feet': {'estimated_diameter_min': 120.9316637498, 'estimated_diameter_max': 270.4114207767}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 13:28', 'epoch_date_close_approach': 1647264480000, 'relative_velocity': {'kilometers_per_second': '7.066615928', 'kilometers_per_hour': '25439.817340742', 'miles_per_hour': '15807.3131693072'}, 'miss_distance': {'astronomical': '0.0742838414', 'lunar': '28.8964143046', 'kilometers': '11112704.448857818', 'miles': '6905114.3501131684'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/54240521?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},54240521,54240521,(2022 BC5),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=54240521,24.3,"{'kilometers': {'estimated_diameter_min': 0.0366906138, 'estimated_diameter_max': 0.0820427065}, 'meters': {'estimated_diameter_min': 36.6906137531, 'estimated_diameter_max': 82.0427064882}, 'miles': {'estimated_diameter_min': 0.0227984834, 'estimated_diameter_max': 0.0509789586}, 'feet': {'estimated_diameter_min': 120.3760332259, 'estimated_diameter_max': 269.1689931548}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 07:38', 'epoch_date_close_approach': 1647243480000, 'relative_velocity': {'kilometers_per_second': '3.7112980744', 'kilometers_per_hour': '13360.6730676902', 'miles_per_hour': '8301.8026625323'}, 'miss_distance': {'astronomical': '0.0694491237', 'lunar': '27.0157091193', 'kilometers': '10389440.978886519', 'miles': '6455699.2695272022'}, 'orbiting_body': 'Earth'}]",False
{'self': 'http://www.neowsapp.com/rest/v1/neo/3400306?api_key=1aIpV0tJHWmnlkRRXqJTVByZhpoUis7rRz5ADTvp'},3400306,3400306,(2008 BT2),http://ssd.jpl.nasa.gov/sbdb.cgi?sstr=3400306,24.41,"{'kilometers': {'estimated_diameter_min': 0.0348782733, 'estimated_diameter_max': 0.0779901901}, 'meters': {'estimated_diameter_min': 34.8782733159, 'estimated_diameter_max': 77.9901900722}, 'miles': {'estimated_diameter_min': 0.0216723476, 'estimated_diameter_max': 0.0484608424}, 'feet': {'estimated_diameter_min': 114.4300342258, 'estimated_diameter_max': 255.8733351966}}",False,"[{'close_approach_date': '2022-03-14', 'close_approach_date_full': '2022-Mar-14 13:15', 'epoch_date_close_approach': 1647263700000, 'relative_velocity': {'kilometers_per_second': '1.5586303066', 'kilometers_per_hour': '5611.0691036519', 'miles_per_hour': '3486.5001327664'}, 'miss_distance': {'astronomical': '0.0865350615', 'lunar': '33.6621389235', 'kilometers': '12945460.880719005', 'miles': '8043936.388992069'}, 'orbiting_body': 'Earth'}]",False
